,institution,text,source_idx,artist,is_artwork
0,0,"American, born 1975",IT01,1,False
1,0,American,IT02,1,False
2,0,female,IT03,1,False
3,0,"American, born 1975",IT04,2,False
4,0,American,IT05,2,False
5,0,female,IT06,2,False
6,1,"Laurel Nakadate (born 1975) is an American feminist video artist, filmmaker, and photographer. She is based in New York City.",IT07,2,False
7,1,"Mequitta Ahuja (born 1976) is a contemporary American feminist painter of African American and South Asian descent who lives in Baltimore, Maryland. Ahuja creates works of self-portraiture that combine themes of myth and legend with personal identity.",IT08,3,False
8,1,"ha·pa (hä′pä) adj. 1. Slang, of mixed racial heritage with partial roots in Asian and/or Pacific Islander ancestry. n. 2. Slang, a person of such heritage. (der./Hawaiian: hapa haole, (half white))

Of Cantonese, English, Irish, and Welsh descent, Kip Fulbeck addresses the transforming hapa experience through autobiographical tales, his bitterly funny stories exposing sources of racism, sexism, and symbolic domination within suburban America.

Fulbeck’s rhythmic monologues, anecdotes, and snapshot imagery take the viewer through childhood fights and adult dilemmas, and question ethnic dating patterns and media depictions of Asian men, all the while documenting a family life richly colored by the Chinese language and culture of his mother’s family and the vernacular language and culture of Southern California. The stories move between the hilarious and tragic, shifting tenses and styles as his language shifts between broken Cantonese, pidgin English, academese, and SoCal speak.

Combining live readings, slide projections, text, and sound, the work avoids traditional artistic classification, moving between and forcing the reassessment of conventional boundaries (photography, video, writing, performance, etc.). In work that is often placed under the amorphous new genres umbrella, Fulbeck exposes the limitations of contemporary artistic categorization as well as ethnicity classification. Beginning with the question What do you check on the ethnicity box? he attacks the prevalent attitudes about where hapas “fit in” in a country which often ignores multi-raciality.

“Fulbeck’s art work moves incisively in and around the complex dynamics of being an Asian American. This is at once a typically American issue considering the diverse makeup of the population; and it is also an individual, sometimes painfully isolating, experience.”",IT09,4,False
9,0,"Ruth Asawa, artist, activist, and educator.

Born on a farm in Southern California, Asawa began her arts education when she was a teenager and she and her family were among the thousands of persons of Japanese descent who were forcibly incarcerated by the US government during World War II. It was at the internment camp that Asawa began taking classes in painting and drawing. After her release, Asawa studied to be a teacher but was unable to get a license because of her Japanese heritage, so she enrolled at Black Mountain College, an experimental art school in North Carolina. Asawa took classes from and worked alongside fellow artists Josef Albers, Robert Rauschenberg, Merce Cunningham, and R. Buckminster Fuller. Black Mountain was also where she met her husband, the architect Albert Lanier.

Asawa created Untitled (BMC.145, BMC Laundry Stamp) (c. 1948–49) while she was in charge of the student-run laundry facility. Moving in a pattern of rows and columns, she applied an inked laundry stamp with the college’s initials to a large portion of a bedsheet.

During her years at Black Mountain College, Asawa traveled to Mexico with Albers and his wife, Anni Albers, a fiber artist also on the faculty at the College. It was in a village outside Mexico City that Asawa learned to weave with wire. After settling permanently in San Francisco in the early 1950s, Asawa used this technique to create floating sculptures by looping wire with a dowel. Untitled (c. 1955) is an example of how Asawa’s innovative process created a new type of sculptural form, one which produced three-dimensional volume without interior mass. Moreover, this work, like her other wire sculptures, is installed hanging from the ceiling, giving it a greater sense of movement. She likened the weaving process to drawing in space.


Throughout her career, Asawa continued to experiment in different media. With its overlapping loops and circles, her print Desert Flower (1965) suggests a bird's eye view of one of her transparent wire sculptures. It is one of 54 lithographs that Asawa made in 1964 and 1965 at Tamarind Lithography Workshop, which was instrumental in bringing about a renaissance of printmaking in the US. In Aiko (1965), another work from this series, Asawa captures the likeness of one of her six children, creating a monochromatic profile of her daughter.

During her many years working in San Francisco, Asawa created and installed several large scale sculptures in public spaces. She also worked tirelessly as an advocate for art education in the city’s public schools. In all her endeavors, Asawa maintained a commitment to creativity and innovation. ",IT11,5,False
10,1,"As the child of Japanese immigrants living in California, Ruth Asawa was placed in an internment camp for several years during World War II. Because of lingering discrimination after the war and bleak job prospects, Asawa abandoned her pursuit of a teaching degree and in 1946 she enrolled instead at the experimental, nonaccredited Black Mountain College in North Carolina. She planned to study painting and drawing with the influential artist Josef Albers, but the institution’s cross-disciplinary emphasis soon led her to sculpture. This nascent interest flourished after a summer in Toluca, Mexico, where she learned from the local craftspeople how to make the crocheted wire baskets she had admired. The crochet technique requires looping wire around a wooden dowel to produce what the artist described as “a string of e’s.” By repeating this one motion—with adjustments made for the weight of the material or the space between loops—Asawa created undulating, voluminous forms. 

Number 1 – 1955 (which the artist had to re-create in 1958 because of faulty metal in the original), like many of Asawa’s abstract wire sculptures, is comprised of an outer, vertical structure, inside of which she nestled smaller shapes, often of a differing metal. Suspended from the ceiling, the biomorphic, semitransparent structure creates a multidimensional play of interior and exterior spaces and a constellation of shadows on the wall. ",IT12,5,False
